country,c_code,year,uncertain,trade_kofgi,kofgi,hdi,va,ps,ge,rq,rl,cc,trust,top10,bot40,trade,gdp_pc,fdi_in,icrg_qog,palma,qgi,sgdp_pc,shdi,strade,strust,spalma,stop10,sbot40,sfdi_in,sqgi,skofgi,strade_kofgi,sape1n,srpa_full,icrg_qog2
Australia,AU,2006,0,60,79,1,1,1,2,2,2,2,53,0,0,42,42761,4,1,3,2,0,1,-1,1,0,-1,-1,0,1,0,-1,0,0,90
Australia,AU,2008,0,60,80,1,1,1,2,2,2,2,64,0,0,43,44835,4,1,3,2,0,1,-1,1,0,-1,0,0,1,0,-1,0,0,89
Australia,AU,2010,0,59,81,1,1,1,2,2,2,2,61,0,0,41,44992,3,1,3,2,0,1,-1,1,0,-1,0,0,1,0,-1,-1,1,91
Australia,AU,2012,0,57,81,1,1,1,2,2,2,2,42,0,0,43,46427,4,1,3,2,0,1,-1,0,0,-1,0,0,1,0,-1,0,0,90
Australia,AU,2014,0,57,81,1,1,1,2,2,2,2,46,0,0,43,47290,4,1,3,2,0,1,-1,0,0,-1,-1,0,1,0,-1,-1,0,89
Australia,AU,2016,0,57,81,1,1,1,2,2,2,2,45,0,0,41,48197,4,1,3,2,0,1,-1,0,0,-1,-1,0,1,0,-1,0,0,89
Australia,AU,2018,0,58,82,1,1,1,2,2,2,2,47,0,0,43,49152,4,1,3,2,1,1,-1,0,0,-1,-1,0,1,0,-1,0,0,89
Austria,AT,2006,0,78,87,1,1,1,2,2,2,2,50,0,0,98,47205,14,1,3,2,0,0,0,0,0,0,0,1,1,1,1,1,-1,94
Austria,AT,2008,0,79,88,1,1,1,2,2,2,2,26,0,0,102,48416,37,1,3,2,1,0,0,-1,0,0,1,3,1,1,1,1,-1,94
Austria,AT,2010,0,78,88,1,1,1,2,1,2,2,49,0,0,99,47965,26,1,3,2,0,1,0,0,0,0,1,2,1,1,1,1,-1,94
Austria,AT,2012,0,78,88,1,1,1,2,2,2,1,38,0,0,105,48204,2,1,2,2,0,1,0,0,-1,-1,1,0,1,1,1,1,-1,92
Austria,AT,2014,0,81,89,1,1,1,2,1,2,1,41,0,0,104,48741,-3,1,2,2,1,1,0,0,-1,-1,1,-1,1,1,1,2,-1,92
Austria,AT,2016,0,80,88,1,1,1,2,1,2,2,43,0,0,101,49822,12,1,2,1,1,1,0,0,-1,0,1,1,1,1,1,2,-1,92
Austria,AT,2018,0,82,89,1,1,1,1,2,2,2,49,0,0,108,51104,-8,1,2,2,1,1,0,0,-1,-1,1,-1,1,1,1,2,-1,92
Belgium,BE,2006,0,81,88,1,1,1,2,1,1,1,55,0,0,150,50768,3,1,3,1,1,1,1,1,0,-1,0,0,0,1,1,-1,0,82
Belgium,BE,2008,0,83,89,1,1,1,1,1,1,1,46,0,0,161,53090,1,1,2,1,1,1,1,0,-1,-1,0,0,0,1,1,-1,0,81
Belgium,BE,2010,0,85,89,1,1,1,2,1,1,2,34,0,0,150,51769,-6,1,2,1,1,1,1,-1,-1,-1,0,-1,0,1,1,-1,0,89
Belgium,BE,2012,0,84,89,1,1,1,2,1,1,2,44,0,0,161,53221,1,1,2,1,1,1,1,0,-1,-1,1,0,1,1,1,-1,0,89
Belgium,BE,2014,0,87,90,1,1,1,1,1,2,2,47,0,0,159,52857,0,1,2,1,1,1,1,0,-1,-1,1,0,0,1,1,-1,0,89
Belgium,BE,2016,0,86,90,1,1,0,1,1,1,2,42,0,0,158,53269,-7,1,2,1,1,1,1,0,-1,-1,1,-1,0,1,1,-1,0,86
Belgium,BE,2018,0,86,90,1,1,0,1,1,1,2,44,0,0,166,55298,-6,1,2,1,1,1,1,0,-1,-1,1,-1,0,1,1,0,0,86
Brazil,BR,2006,0,35,60,1,1,0,0,0,0,0,34,1,0,26,12918,2,0,9,-4,-1,-3,-1,-1,1,2,-2,0,-2,-3,-3,1,,41
Brazil,BR,2008,0,35,62,1,1,0,0,0,0,0,51,1,0,27,14110,3,0,8,-4,-1,-2,-1,1,1,2,-1,0,-2,-2,-3,1,,41
Brazil,BR,2010,0,40,65,1,1,0,0,0,0,0,51,1,0,23,14868,4,0,9,-3,-1,-2,-1,1,1,2,-2,0,-1,-2,-2,1,,44
Brazil,BR,2012,0,41,65,1,0,0,0,0,0,0,46,1,0,25,15474,4,0,9,-3,-1,-2,-1,0,1,2,-2,0,-1,-2,-2,1,,43
